workout_id,duration_mins,avg_hr,max_hr,hr_spikes,pct_time_low,avg_emg,emg_fatigue,total_reps,effectiveness_label
w_57b0420b,36.1,77.7,91.5,3,72.1,208.4,1.7,23,0
w_d5f57944,53.3,128.7,151.2,5,25.0,418.9,17.1,74,2
w_c832e82c,48.4,123.4,138.8,5,6.9,526.8,24.5,133,2
w_b2ed439e,46.6,164.6,185.8,7,3.0,316.3,11.6,304,3
w_184ec016,41.4,142.5,165.0,5,8.4,536.3,22.5,133,2
w_5b69f84a,49.5,151.3,167.2,4,6.0,452.3,19.7,186,3
w_413f2cdf,46.2,129.0,148.1,4,21.7,373.6,19.8,86,2
w_54308f33,64.4,119.8,144.6,5,13.7,428.5,14.9,111,2
w_ee8e856b,25.1,97.1,115.4,1,54.2,265.4,5.6,54,1
w_7eeb7dc9,44.8,131.4,158.4,5,11.1,532.3,21.4,117,2
w_515e7f08,17.8,137.7,162.1,5,24.8,475.6,16.7,50,1
w_19a7066a,25.8,90.6,104.1,2,71.3,81.0,3.4,37,0
w_01fd9db4,41.7,122.2,148.3,2,18.3,404.8,20.9,79,2
w_c7dbca97,61.9,125.5,150.4,3,19.7,352.5,22.2,121,2
w_853f64bf,37.3,140.5,169.5,6,12.0,534.1,25.1,136,2
w_aafb4129,36.2,143.1,163.8,8,11.9,469.3,16.4,213,3
w_b4335f6b,46.2,157.9,183.1,5,6.0,387.7,16.5,92,2
w_6a07db37,53.8,162.5,187.1,7,3.0,749.0,32.9,184,3
w_b0d50c5b,35.7,115.5,131.5,3,29.6,316.6,14.7,94,1
w_9c1e6719,33.7,114.4,137.2,3,39.8,328.3,11.6,81,1
w_1bf16d60,47.8,137.7,167.6,4,16.1,384.6,14.1,81,2
w_7f107c5e,47.1,126.7,142.4,6,19.8,524.8,19.9,82,2
w_95cddf95,66.0,176.1,198.8,7,2.5,643.2,28.8,249,3
w_cb374856,76.9,141.3,162.7,8,8.8,618.2,34.9,175,3
w_274f1842,4.8,77.6,87.7,0,66.4,90.1,2.7,20,0
w_d904ebcb,6.5,87.5,107.0,2,60.9,86.5,4.7,13,0
w_f5b7698f,42.9,120.2,136.7,5,11.8,353.5,25.1,75,2
w_96260f0e,30.6,127.8,154.9,4,25.0,341.2,10.7,91,1
w_759901d4,54.5,134.5,159.9,4,9.2,381.9,16.4,310,3
w_bdb0d6e2,42.5,107.3,126.5,2,37.2,356.6,13.2,78,1
w_9385e3b8,5.5,84.2,99.4,0,52.0,48.9,0.2,5,0
w_2d8d99d1,51.0,136.3,159.5,5,2.5,418.7,13.8,207,3
w_e870e5c1,33.0,99.2,113.3,2,43.8,235.0,13.6,55,1
w_0d916071,21.1,102.9,126.4,3,26.3,256.3,13.3,89,1
w_78f13184,63.7,174.3,194.2,7,2.6,650.3,45.1,198,3
w_6ca3e24c,38.7,138.9,169.3,3,8.5,466.8,17.0,133,2
w_b95d1510,61.8,153.9,190.4,13,2.7,725.8,47.1,169,3
w_34e62a71,4.4,167.5,200.1,8,3.0,601.4,21.3,15,0
w_6dd5e43e,43.3,168.4,192.8,13,0.0,743.7,39.6,210,3
w_b8556887,20.6,127.0,154.3,4,8.7,351.2,16.3,43,1
w_1389d80e,30.4,115.1,127.9,1,32.3,403.0,17.8,88,1
w_03dc4e7c,61.6,154.4,182.4,5,6.0,522.6,37.4,255,3
w_0954a3b3,41.3,130.1,155.8,4,5.1,431.0,16.1,123,2
w_5bd5774d,31.8,96.8,107.3,1,79.2,168.5,2.5,29,0
w_1a0c7b48,50.1,84.3,105.9,0,74.3,79.9,3.8,25,0
w_80b113b9,60.4,115.2,135.3,3,19.0,455.5,18.6,75,2
w_b9a0080d,9.0,150.6,184.3,9,0.7,383.6,30.1,35,0
w_9fade8d6,50.6,170.5,194.1,10,2.7,648.8,31.6,222,3
w_a76860dd,48.1,169.8,196.0,8,3.0,796.9,49.0,209,3
w_7d9414d0,53.8,122.4,149.0,3,19.8,496.6,22.9,91,2
w_a5c5d5b0,50.1,141.8,167.4,3,12.0,497.8,14.8,117,2
w_2dc816ea,23.8,130.4,154.8,4,25.0,291.6,7.8,77,1
w_9812f351,42.2,172.2,209.4,14,0.4,776.1,52.0,176,3
w_0ac61f42,10.4,83.8,96.4,0,71.0,114.5,1.5,37,0
w_e1a3ee48,58.9,126.5,149.5,4,15.8,390.9,19.1,132,2
w_59cf5090,31.8,115.1,136.8,3,27.0,234.3,13.3,93,1
w_a04f1c3a,64.2,87.5,106.1,0,91.0,30.5,1.3,29,0
w_ee0f3c17,25.9,124.7,148.4,1,32.2,256.8,15.3,51,1
w_8edc24d9,46.9,123.2,142.0,1,25.2,310.8,15.1,98,1
w_981ebd4d,37.0,93.4,102.2,2,78.0,58.3,0.8,27,0
w_76d2a89f,48.1,136.6,160.3,5,9.3,350.9,16.1,83,2
w_244768de,40.6,105.5,125.2,2,19.9,230.7,13.1,83,1
w_0d8a2f59,41.3,104.3,134.3,4,61.5,584.3,37.0,61,3
w_5e96b410,33.8,111.5,129.8,2,27.3,245.7,14.7,91,1
w_8fd50efd,65.3,169.8,188.3,9,2.9,677.8,32.2,175,3
w_6bfc0772,25.1,87.0,103.1,1,47.8,219.5,6.2,73,1
w_87c11495,60.2,145.0,167.3,8,5.5,599.9,39.2,275,3
w_d483a374,43.1,78.6,97.4,1,82.1,148.8,1.6,30,0
w_ec47d359,35.2,149.5,177.9,7,8.6,450.0,26.3,140,2
w_60b0b8a8,26.2,107.9,120.9,1,46.2,126.6,3.3,45,1
w_03d11737,61.6,160.1,195.1,11,0.8,660.1,51.0,170,3
w_1a58a729,45.8,106.1,127.7,3,33.5,348.6,15.0,62,1
w_6c5f037a,34.4,128.0,144.6,1,20.1,309.7,8.1,75,1
w_e6f262ba,40.5,122.8,138.2,2,30.6,293.4,8.6,45,1
w_e1626292,7.6,143.8,178.8,6,4.5,328.0,31.9,52,0
w_548b65f0,28.3,101.4,124.4,1,44.5,255.5,8.3,57,1
w_49b1c23b,45.4,121.5,133.9,2,23.2,281.2,12.6,82,1
w_d6ad9c03,41.7,153.1,170.2,3,6.0,451.1,19.9,97,2
w_4cc6aca0,27.0,103.9,128.8,2,39.7,177.6,7.5,66,1
w_263515b1,31.1,110.9,130.3,1,39.4,271.9,16.2,73,1
w_78918988,52.4,152.8,176.9,6,6.0,673.7,32.2,184,3
w_0585959b,54.6,141.8,158.0,3,12.0,433.7,12.4,135,2
w_bcd91b72,22.1,77.7,87.0,2,63.0,54.6,4.0,39,0
w_16c1417d,35.3,93.3,112.9,1,50.7,675.4,35.7,50,3
w_0916785d,2.8,139.4,166.1,2,2.6,481.3,11.0,29,0
w_158f1252,41.9,120.5,144.8,3,23.5,321.7,14.9,78,1
w_6faeb53d,15.1,103.2,112.8,1,88.9,148.0,3.8,12,0
w_f6bc7a63,33.3,149.4,173.4,5,12.0,521.5,21.4,140,2
w_ade5e71a,49.8,151.2,185.6,7,6.0,561.4,36.4,132,3
w_f948b97a,12.5,89.4,103.6,2,69.6,83.7,1.3,37,0
w_8ddce409,4.8,79.4,93.7,1,73.9,92.5,2.1,6,0
w_6f420b72,89.3,78.2,91.9,0,86.9,75.4,1.8,22,0
w_497bfd93,54.2,82.4,106.1,1,50.8,574.1,35.3,64,3
w_f6ce213e,65.6,156.6,189.6,6,6.0,695.8,36.6,241,3
w_80b9de8f,42.1,156.5,184.5,14,1.4,629.4,33.9,177,3
w_eb27d735,26.4,91.1,111.2,0,87.7,174.7,6.4,54,0
w_c81ac851,21.2,117.8,141.4,5,16.5,497.5,13.2,46,1
w_9929e2a6,56.8,140.6,164.1,4,12.0,330.0,20.4,110,2
w_a65f5271,48.5,143.5,170.7,9,0.8,736.0,41.8,152,3
w_55d1ad43,66.6,166.9,200.8,6,3.0,596.0,33.5,165,3
w_0497d5a0,37.7,90.4,103.4,0,59.9,78.5,2.9,17,0
w_199e4ce7,72.9,87.7,96.2,1,90.1,167.3,3.4,43,0
w_756266f5,30.2,156.5,184.7,7,6.0,528.4,19.5,112,2
w_b5f856df,24.8,115.7,132.4,1,32.5,324.6,12.7,72,1
w_6fc63d1d,48.7,130.0,144.7,2,16.6,329.6,18.1,90,2
w_13aafc0b,53.9,98.6,112.8,1,43.1,310.6,6.7,87,1
w_d8edbc43,54.9,144.1,161.0,2,12.0,389.1,24.9,131,2
w_5cfa7d48,44.2,140.1,164.9,6,4.2,526.6,49.8,192,3
w_f6f6ba0f,32.1,163.2,193.5,10,1.2,635.7,24.8,148,3
w_5d6340b0,79.6,165.8,183.6,9,3.0,540.9,34.5,272,3
w_b3ea6ccb,10.8,140.5,162.1,8,8.2,673.1,26.3,24,0
w_687c8913,25.5,132.9,160.2,4,20.1,288.1,8.3,79,1
w_af2b5e18,45.4,119.0,146.5,5,8.6,353.0,23.5,101,2
w_2f4882e3,51.1,165.3,189.9,12,3.0,600.5,32.3,220,3
w_f426550c,46.6,114.6,137.4,2,30.9,322.7,12.2,67,1
w_ec612f96,25.5,122.2,137.9,3,45.0,219.0,12.9,85,1
w_954b4747,3.9,156.1,175.9,6,6.0,311.0,35.2,62,0
w_ba4f9610,21.3,132.3,151.0,3,19.3,419.5,18.9,53,1
w_96928d47,25.7,87.6,107.3,1,83.9,153.6,6.3,34,0
w_15de936b,47.5,147.6,168.2,10,11.7,499.5,31.6,157,3
w_d0b09668,58.9,150.4,177.4,6,6.0,736.7,36.6,175,3
w_6307d9ca,59.5,88.5,122.0,3,64.7,662.3,22.6,73,3
w_d6293bf0,24.4,122.1,134.7,2,39.1,347.0,12.8,55,1
w_04b123ef,8.2,165.6,194.7,7,1.4,532.3,25.2,20,0
w_2ada5608,40.3,105.6,118.6,1,49.9,303.4,8.8,59,1
w_03fc157f,48.3,122.0,148.4,3,8.9,415.1,19.5,135,2
w_06a53233,36.9,132.9,161.3,6,13.8,404.5,18.6,102,2
w_fc68b9f7,63.4,128.4,152.3,4,25.0,362.1,14.1,78,2
w_639b3e40,46.3,154.1,184.4,4,5.6,525.1,26.7,101,2
w_82e1dc6e,45.7,156.2,176.1,12,3.7,757.0,32.9,239,3
w_727d8a46,10.3,124.2,156.7,7,9.1,681.1,19.8,34,0
w_d2d5c883,47.6,81.7,98.0,1,48.3,585.5,24.7,64,3
w_619aae93,72.8,141.9,163.1,6,1.2,651.1,38.4,230,3
w_8f202d64,49.4,103.3,120.2,2,52.0,268.9,10.2,53,1
w_b626dda4,47.0,133.3,158.8,6,11.6,444.2,21.9,143,2
w_1a084240,44.5,124.1,141.6,6,9.8,463.4,24.4,97,2
w_82ffeb7b,20.1,88.8,99.4,1,60.8,247.2,7.6,72,1
w_2265cb0d,53.8,143.4,171.5,5,7.6,407.0,21.0,86,2
w_2414baaf,45.2,83.2,107.7,4,73.4,623.4,41.8,72,3
w_5b427dbb,42.1,137.4,157.0,4,3.6,510.4,20.2,119,2
w_2540cbe0,47.6,150.5,171.8,6,0.6,699.9,46.1,215,3
w_ba420bc7,43.3,81.7,104.9,3,78.7,110.4,2.6,53,0
w_e06345cb,19.7,137.3,166.1,4,17.4,329.2,11.0,70,1
w_5270d7fe,39.7,148.8,175.3,11,5.9,645.4,31.9,124,3
w_d1a2e59d,41.6,122.6,149.2,6,6.3,431.9,14.4,134,2
w_864a66df,49.3,125.1,139.4,6,21.8,533.8,21.9,91,2
w_0134cc19,68.9,166.7,199.2,6,1.7,673.1,42.0,208,3
w_96175720,4.5,142.4,168.5,8,6.7,307.9,13.1,65,0
w_ab870fa2,29.6,148.2,174.0,4,9.9,544.4,18.3,80,2
w_a38f3095,46.6,90.2,109.3,2,87.6,174.5,5.5,31,0
w_f6e27ec4,37.9,147.0,174.8,4,7.1,512.9,27.0,118,2
w_0a6c6355,35.7,152.3,177.9,8,4.3,490.8,21.3,143,2
w_b4e58aa6,52.7,144.0,176.4,6,6.6,637.1,35.6,161,3
w_944a1dd7,5.3,118.6,148.9,1,6.6,663.3,9.7,5,0
w_51bd0905,49.8,139.5,166.0,3,25.0,379.7,12.9,120,2
w_b5cb251f,39.6,155.3,189.4,7,6.0,405.0,26.3,92,2
w_84c4ede9,36.1,79.8,96.0,2,52.2,592.0,41.7,76,3
w_67062a4f,26.6,92.4,105.9,0,56.5,218.1,2.6,25,0
w_831f4a62,63.7,165.9,194.1,6,3.0,613.8,47.7,197,3
w_64529241,61.7,148.1,174.3,12,1.8,671.5,50.0,257,3
w_2815a69f,32.6,151.0,172.5,6,3.0,593.3,24.1,144,3
w_f1a803c8,55.3,163.8,192.3,6,3.0,326.5,19.2,270,3
w_cd4af4c9,45.3,153.1,178.5,3,5.7,382.2,20.2,142,2
w_50929362,46.9,133.0,151.1,4,21.6,525.1,25.8,102,2
w_a139ac24,43.7,100.7,121.4,5,73.6,711.5,21.0,31,3
w_5373aaf0,62.6,122.6,148.1,4,18.5,340.1,23.6,75,2
w_35d7608c,50.9,112.7,124.6,0,45.0,181.8,8.3,63,1
w_ce6a99f3,14.7,141.2,167.3,5,12.0,408.8,11.5,46,1
w_26b69af7,38.3,133.5,159.3,7,13.3,432.9,23.3,123,2
w_49d60e03,25.5,121.9,147.9,3,20.4,309.6,14.6,62,1
w_b2cd1047,7.4,94.2,105.6,1,90.2,111.6,1.2,21,0
w_1760eb0b,44.1,88.2,124.9,5,73.6,627.7,30.9,73,3
w_b8f9f595,77.4,79.4,97.1,0,95.9,73.1,2.2,35,0
w_dd425ab6,47.0,127.8,147.2,4,6.0,496.6,15.7,125,2
w_4d8c40cc,50.6,138.0,155.5,3,17.9,368.6,21.5,127,2
w_bb5498f3,11.1,171.7,205.8,4,3.0,681.2,19.9,48,0
w_d9b06855,34.9,84.7,103.8,3,79.6,123.3,4.4,61,0
w_63ca248c,16.4,85.1,98.3,0,87.0,147.9,2.9,29,0
w_9d60e632,51.0,134.2,155.7,3,14.2,501.0,25.6,111,2
w_b27dc8fc,41.7,106.5,122.9,2,41.6,273.1,5.6,84,1
w_1975574d,20.3,104.2,125.2,0,58.0,184.0,5.0,61,1
w_80d83653,39.8,141.6,165.2,4,12.0,401.4,23.3,139,2
w_3572822b,34.2,147.4,167.5,10,6.9,626.2,26.2,212,3
w_04617e68,41.9,107.4,129.7,1,30.5,283.1,11.9,72,1
w_8924b70f,52.9,146.2,168.8,3,11.3,517.4,19.9,119,2
w_49c4feda,31.8,95.3,114.8,1,73.4,77.1,2.6,37,0
w_16535700,35.4,100.6,117.0,1,52.8,294.5,9.5,71,1
w_bc1b34dd,5.1,160.7,177.8,9,0.7,370.0,35.7,25,0
w_407097c1,43.8,141.6,163.8,7,12.0,425.3,23.9,86,2
w_4b426de8,40.2,133.8,159.4,8,16.1,324.4,20.7,234,3
w_8c319453,46.6,163.4,185.4,11,0.5,580.3,50.5,182,3
w_3b95577d,23.3,115.9,131.2,4,36.9,299.6,11.2,86,1
w_5be6166c,14.1,119.8,137.4,5,7.3,358.4,12.0,70,1
w_7ce0890f,44.5,109.1,131.8,1,39.9,320.9,8.0,98,1
w_b40967eb,45.6,148.1,169.2,8,8.7,645.0,30.7,144,3
w_8eed6963,8.5,87.7,105.6,0,64.8,159.1,2.3,23,0
w_1373850f,35.0,152.0,168.0,5,6.0,410.8,21.5,128,2
w_f9aa3c03,55.6,147.1,168.0,9,5.4,770.0,47.3,202,3
w_6cad5747,57.0,104.6,140.2,3,67.1,583.1,30.4,37,3
w_95284108,55.6,91.9,102.6,0,70.7,66.7,3.5,29,0
w_99e99a92,88.3,87.5,99.7,1,80.3,143.4,1.8,29,0
w_929f0344,9.9,126.2,151.5,5,6.6,652.7,34.4,57,0
w_f22d6ca5,69.2,162.5,185.1,6,3.0,724.0,44.5,216,3
w_eefa1af5,39.2,124.3,146.7,4,21.6,508.5,16.7,91,2
w_7425f338,42.3,146.2,174.2,6,12.0,373.6,20.9,256,3
w_702faba6,40.0,153.9,176.2,4,3.8,388.3,25.9,125,2
w_7c57b865,53.2,139.3,162.8,7,6.8,495.1,25.1,118,2
w_d3dd1f80,35.0,161.6,180.8,11,3.0,637.3,29.8,143,3
w_d7d13048,21.2,79.4,91.0,2,79.2,65.8,0.3,53,0
w_c32e943d,37.2,152.0,171.5,12,5.2,562.5,29.5,125,3
w_77025985,33.9,81.7,96.1,3,79.1,131.7,4.9,45,0
w_a3bef725,43.7,144.6,160.5,7,12.0,457.3,21.8,85,2
w_f279e39a,53.0,120.0,139.8,3,18.4,524.7,24.8,128,2
w_68953a93,9.8,158.4,192.0,4,2.6,471.9,36.2,68,0
w_6dca2615,22.6,130.2,156.7,2,25.0,357.5,14.4,72,1
w_1fc59975,34.1,133.8,151.6,4,11.5,479.6,17.7,98,2
w_2f3a7668,49.1,141.7,167.7,5,12.0,496.3,22.7,107,2
w_58c9b049,21.6,106.3,116.9,1,44.2,240.9,3.6,60,1
w_97934612,38.9,77.3,92.8,0,72.0,162.3,3.2,50,0
w_0500e0d0,49.4,134.3,160.9,5,5.8,419.8,18.9,110,2
w_97e3b00e,22.8,80.1,95.4,0,72.3,67.2,4.8,47,0
w_b9522f3a,76.8,155.8,190.4,10,5.6,665.3,44.3,174,3
w_6652b6c1,51.1,171.7,204.3,10,3.0,727.8,36.7,216,3
w_de3c5912,50.4,139.6,168.8,6,7.0,547.5,27.6,150,2
w_55235983,41.1,96.3,117.8,0,45.5,286.0,5.7,76,1
w_591b4190,9.0,83.7,93.0,1,57.6,40.5,0.4,11,0
w_af5d9f21,54.5,92.3,111.2,3,78.2,584.2,33.7,58,3
w_6ed900cb,52.0,142.2,167.0,5,4.4,763.4,36.1,210,3
w_061b0e69,35.9,126.8,150.5,3,24.4,340.2,7.0,53,1
w_ee2b5998,30.7,74.8,83.0,1,69.9,118.5,1.8,40,0
w_ee75f410,32.6,73.9,83.3,0,71.5,65.5,4.2,53,0
w_c787b33a,40.5,81.7,89.7,0,77.4,117.9,2.3,31,0
w_90d697e5,28.5,156.9,184.0,8,6.0,564.6,26.6,130,2
w_95ec9706,34.6,89.3,107.3,2,61.0,116.1,8.5,38,1
w_4fa7c05f,49.6,84.9,110.4,1,69.7,735.1,33.4,51,3
w_f601c770,71.2,155.0,186.6,10,1.3,702.4,32.9,242,3
w_a7da0579,46.3,103.9,125.1,1,47.8,222.4,9.2,68,1
w_4de6ddc4,42.0,132.4,152.5,6,12.6,396.8,17.7,152,2
w_76978671,25.7,106.9,131.8,3,42.7,243.6,9.9,66,1
w_4f9ddd61,6.6,101.6,111.1,2,46.4,50.8,3.3,20,0
w_705cc226,45.7,68.3,86.1,1,78.9,101.8,3.7,25,0
w_853d39fd,34.1,87.6,105.2,1,65.7,140.5,4.8,18,0
w_0ae7fc7f,52.5,137.5,158.1,4,10.5,408.9,24.6,98,2
w_05a8067c,59.5,118.1,141.7,6,14.7,467.9,21.1,104,2
w_dddbf800,26.8,109.8,122.8,1,26.5,252.8,12.8,67,1
w_a36aff56,49.5,139.3,165.7,4,19.3,412.1,17.8,110,2
w_790decae,48.7,167.1,186.5,6,1.3,728.0,29.9,227,3
w_c5132fe3,47.1,100.4,126.6,4,75.2,729.4,39.7,67,3
w_e52b1dcf,49.9,91.3,115.9,2,75.4,730.4,25.5,44,3
w_f2bb9a90,45.0,123.3,148.8,6,12.2,439.5,21.3,110,2
w_aa62b164,38.6,97.0,118.1,2,30.2,218.9,13.1,88,1
w_1b4ccc37,27.0,83.3,97.0,1,68.5,118.9,3.0,52,0
w_5315ca52,4.2,121.0,159.8,3,39.6,692.4,19.4,12,0
w_0208abae,56.2,170.6,190.9,5,3.0,657.9,31.6,205,3
w_ebae2388,20.1,84.1,99.5,1,84.9,99.6,3.7,40,0
w_c96c6f93,54.1,151.6,176.6,11,6.0,696.3,41.9,173,3
w_b819fd93,9.0,139.7,161.5,2,25.0,519.4,17.1,4,0
w_bb142340,42.1,153.9,183.0,4,6.0,495.4,21.7,136,2
w_3ef863f4,52.8,162.8,192.2,7,3.0,759.8,44.9,186,3
w_bcf8c880,28.6,118.6,135.4,1,20.2,259.8,12.2,76,1
w_7efbe5fa,41.1,132.7,152.3,6,18.8,361.0,17.2,84,2
w_df3c2541,44.9,104.3,136.6,3,51.9,656.2,30.4,50,3
w_fbcf948c,49.3,157.2,194.2,10,3.3,624.8,37.2,265,3
w_1afcd826,45.2,150.2,177.1,14,2.5,627.3,46.7,233,3
w_25ebe649,36.0,122.2,140.1,6,6.7,449.8,20.8,107,2
w_02c32dd1,37.6,103.9,117.6,0,35.3,196.6,9.0,89,1
w_bf39adcd,12.0,97.6,115.2,2,84.8,41.4,2.0,36,0
w_1261022b,13.3,98.6,110.8,1,82.3,171.2,4.3,32,0
w_fd90c900,36.5,146.9,161.9,5,12.0,490.0,23.6,86,2
w_ce2a7b10,46.7,147.4,170.0,7,12.0,345.7,24.1,139,2
w_9df12588,40.9,91.7,105.2,2,42.8,279.7,11.5,93,1
w_6811cda5,37.6,129.6,152.6,1,25.0,282.2,11.9,82,1
w_2d28720d,13.2,98.7,107.8,0,69.3,149.0,2.9,10,0
w_4d86d5fe,4.6,131.6,163.5,2,18.4,589.0,10.6,6,0
w_08676642,29.4,114.4,137.8,2,37.5,379.0,12.7,57,1
w_ae8bb6df,32.0,120.0,136.2,2,45.0,310.6,8.7,57,1
w_43d1a248,9.9,89.4,100.1,1,93.5,104.7,0.0,15,0
w_f61815f5,53.1,139.5,163.8,3,2.1,315.8,21.5,247,3
w_75436aa1,51.5,171.6,209.6,6,3.0,625.6,33.5,167,3
w_27993cc0,5.9,119.7,152.5,5,12.6,635.6,10.6,11,0
w_3f103717,27.1,113.5,131.7,3,35.8,261.9,12.4,58,1
w_9b33e9f8,50.8,138.7,153.7,6,14.9,421.6,24.8,113,2
w_7f052727,31.4,113.9,138.0,2,34.7,259.9,8.4,60,1
w_9e8cd40b,42.7,135.3,151.6,6,13.5,515.0,14.7,149,2
w_53cc3c0b,64.4,138.0,165.3,6,14.0,397.0,23.5,85,2
w_4706507f,45.3,152.2,183.2,3,6.0,471.5,18.0,152,2
w_d8d0e91b,13.8,120.9,138.6,5,23.4,469.0,15.2,52,1
w_770c7097,52.6,88.8,115.8,1,79.8,168.4,2.9,27,0
w_d9eeb516,48.2,154.7,187.1,8,1.3,690.3,25.2,212,3
w_8f1abd3c,43.1,154.5,171.4,6,6.0,400.1,26.0,100,2
w_57eeda3d,35.5,71.1,89.3,0,86.5,152.8,2.9,41,0
w_5925a771,44.0,134.9,153.6,7,16.9,448.6,20.4,132,2
w_4ff8cd7d,2.2,154.7,174.1,3,2.6,442.1,30.2,14,0
w_bf40bcc8,23.8,134.5,150.1,4,22.5,354.0,13.9,58,1
w_7dcec145,40.7,107.5,120.2,1,41.4,199.7,6.0,69,1
w_221f9ad8,61.3,144.9,169.7,5,5.4,571.4,44.6,250,3
w_1bd85f13,78.3,165.8,192.8,5,3.0,569.1,36.6,191,3
w_0ac0cc0b,53.5,118.6,144.1,3,15.8,502.0,20.8,100,2
w_889a7e95,35.4,73.6,88.1,2,65.4,123.0,3.6,44,0
w_fb6e1681,7.4,120.5,142.7,1,18.8,680.4,9.9,12,0
w_2fbb6462,37.9,134.4,166.1,7,6.4,517.8,26.1,99,2
w_3d40911e,22.1,104.9,128.3,3,42.2,275.1,9.3,76,1
w_989fff0e,28.2,85.5,101.2,1,47.8,255.9,7.5,62,1
w_b44a9404,44.8,157.0,179.3,8,6.0,523.5,36.2,116,3
w_584ee1c9,5.3,136.7,162.4,9,7.7,386.3,28.7,15,0
w_1710d432,15.9,143.9,158.9,3,12.0,426.4,15.8,49,1
w_6841edbe,48.9,170.9,199.2,11,1.0,697.6,34.8,146,3
w_4b74c4b5,40.9,122.5,144.6,5,9.1,512.0,21.8,78,2
w_fc6d8a9d,12.7,73.3,88.4,1,93.8,40.1,0.2,19,0
w_877ceb2e,32.5,151.5,184.9,8,3.1,439.6,29.0,85,2
w_6efa6fab,44.8,145.4,174.8,5,12.0,516.0,21.5,85,2
w_2672856c,34.6,105.8,121.5,0,38.0,221.8,9.7,88,1
w_c084a660,63.3,152.6,187.7,11,4.5,760.6,30.9,164,3
w_cc81a26f,38.5,143.6,167.8,4,5.5,434.2,26.5,98,2
w_33dac8f0,40.2,126.3,144.3,2,13.7,431.4,14.8,138,2
w_d3243dfa,50.7,138.5,159.1,6,9.6,318.8,14.2,246,3
w_b630e01d,45.5,133.8,160.4,6,20.1,447.8,16.6,127,2
w_5aeab399,57.9,148.2,168.8,12,2.3,701.9,35.9,210,3
